scenario,condition,t_id,expected,observed,abs_diff,rel_error,total_expected,total_observed,gdna_expected,gdna_pipeline,gdna_abs_diff,nrna_expected,nrna_pipeline,nrna_abs_diff,ctrl_observed,n_fragments,alignment_rate,n_intergenic
single_exon,gdna=5_ss=1.0_nrna=0,t_ctrl,0,2.0,2.0,0.0,379,382.52,121,111.0,10.0,0,6.48,6.48,2.0,500,1.0,58
single_exon,gdna=5_ss=1.0_nrna=30,t1,194,265.0,71.0,0.37,297,354.38,95,76.0,19.0,108,69.62,38.38,0.0,500,1.0,44
single_exon,gdna=5_ss=1.0_nrna=30,t_helper,103,89.38,13.62,0.13,297,354.38,95,76.0,19.0,108,69.62,38.38,0.0,500,1.0,44
single_exon,gdna=5_ss=1.0_nrna=30,t_ctrl,0,0.0,0.0,0.0,297,354.38,95,76.0,19.0,108,69.62,38.38,0.0,500,1.0,44
single_exon,gdna=5_ss=1.0_nrna=50,t1,182,278.0,96.0,0.53,260,332.89,83,64.0,19.0,157,103.11,53.89,0.0,500,1.0,47
single_exon,gdna=5_ss=1.0_nrna=50,t_helper,78,54.89,23.11,0.3,260,332.89,83,64.0,19.0,157,103.11,53.89,0.0,500,1.0,47
single_exon,gdna=5_ss=1.0_nrna=50,t_ctrl,0,0.0,0.0,0.0,260,332.89,83,64.0,19.0,157,103.11,53.89,0.0,500,1.0,47
single_exon,gdna=20_ss=0.65_nrna=0,t1,147,174.0,27.0,0.18,220,191.0,280,309.0,29.0,0,0.0,0.0,0.0,500,1.0,140
single_exon,gdna=20_ss=0.65_nrna=0,t_helper,73,17.0,56.0,0.77,220,191.0,280,309.0,29.0,0,0.0,0.0,0.0,500,1.0,140
single_exon,gdna=20_ss=0.65_nrna=0,t_ctrl,0,0.0,0.0,0.0,220,191.0,280,309.0,29.0,0,0.0,0.0,0.0,500,1.0,140
single_exon,gdna=20_ss=0.65_nrna=30,t1,132,0.0,132.0,1.0,189,8.0,242,492.0,250.0,69,0.0,69.0,0.0,500,1.0,126
single_exon,gdna=20_ss=0.65_nrna=30,t_helper,57,8.0,49.0,0.86,189,8.0,242,492.0,250.0,69,0.0,69.0,0.0,500,1.0,126
single_exon,gdna=20_ss=0.65_nrna=30,t_ctrl,0,0.0,0.0,0.0,189,8.0,242,492.0,250.0,69,0.0,69.0,0.0,500,1.0,126
single_exon,gdna=20_ss=0.65_nrna=50,t1,113,190.0,77.0,0.68,174,235.89,221,165.0,56.0,105,99.11,5.89,0.0,500,1.0,111
single_exon,gdna=20_ss=0.65_nrna=50,t_helper,61,45.89,15.11,0.25,174,235.89,221,165.0,56.0,105,99.11,5.89,0.0,500,1.0,111
single_exon,gdna=20_ss=0.65_nrna=50,t_ctrl,0,0.0,0.0,0.0,174,235.89,221,165.0,56.0,105,99.11,5.89,0.0,500,1.0,111
single_exon,gdna=20_ss=0.8_nrna=0,t1,147,174.0,27.0,0.18,220,243.57,280,255.0,25.0,0,1.43,1.43,0.0,500,1.0,140
single_exon,gdna=20_ss=0.8_nrna=0,t_helper,73,69.57,3.43,0.05,220,243.57,280,255.0,25.0,0,1.43,1.43,0.0,500,1.0,140
single_exon,gdna=20_ss=0.8_nrna=0,t_ctrl,0,0.0,0.0,0.0,220,243.57,280,255.0,25.0,0,1.43,1.43,0.0,500,1.0,140
single_exon,gdna=20_ss=0.8_nrna=30,t1,132,195.0,63.0,0.48,189,243.13,242,177.0,65.0,69,79.87,10.87,0.0,500,1.0,126
single_exon,gdna=20_ss=0.8_nrna=30,t_helper,57,48.13,8.87,0.16,189,243.13,242,177.0,65.0,69,79.87,10.87,0.0,500,1.0,126
single_exon,gdna=20_ss=0.8_nrna=30,t_ctrl,0,0.0,0.0,0.0,189,243.13,242,177.0,65.0,69,79.87,10.87,0.0,500,1.0,126
single_exon,gdna=20_ss=0.8_nrna=50,t1,113,190.0,77.0,0.68,174,232.05,221,210.0,11.0,105,57.95,47.05,0.0,500,1.0,111
single_exon,gdna=20_ss=0.8_nrna=50,t_helper,61,42.05,18.95,0.31,174,232.05,221,210.0,11.0,105,57.95,47.05,0.0,500,1.0,111
single_exon,gdna=20_ss=0.8_nrna=50,t_ctrl,0,0.0,0.0,0.0,174,232.05,221,210.0,11.0,105,57.95,47.05,0.0,500,1.0,111
single_exon,gdna=20_ss=0.9_nrna=0,t1,147,174.0,27.0,0.18,220,249.55,280,249.0,31.0,0,1.45,1.45,0.0,500,1.0,140
single_exon,gdna=20_ss=0.9_nrna=0,t_helper,73,75.55,2.55,0.03,220,249.55,280,249.0,31.0,0,1.45,1.45,0.0,500,1.0,140
single_exon,gdna=20_ss=0.9_nrna=0,t_ctrl,0,0.0,0.0,0.0,220,249.55,280,249.0,31.0,0,1.45,1.45,0.0,500,1.0,140
single_exon,gdna=20_ss=0.9_nrna=30,t1,132,195.0,63.0,0.48,189,214.12,242,177.0,65.0,69,108.88,39.88,0.0,500,1.0,126
single_exon,gdna=20_ss=0.9_nrna=30,t_helper,57,19.12,37.88,0.66,189,214.12,242,177.0,65.0,69,108.88,39.88,0.0,500,1.0,126
single_exon,gdna=20_ss=0.9_nrna=30,t_ctrl,0,0.0,0.0,0.0,189,214.12,242,177.0,65.0,69,108.88,39.88,0.0,500,1.0,126
single_exon,gdna=20_ss=0.9_nrna=50,t1,113,164.0,51.0,0.45,174,214.93,221,221.0,0.0,105,64.07,40.93,0.0,500,1.0,111
single_exon,gdna=20_ss=0.9_nrna=50,t_helper,61,50.93,10.07,0.17,174,214.93,221,221.0,0.0,105,64.07,40.93,0.0,500,1.0,111
single_exon,gdna=20_ss=0.9_nrna=50,t_ctrl,0,0.0,0.0,0.0,174,214.93,221,221.0,0.0,105,64.07,40.93,0.0,500,1.0,111
single_exon,gdna=20_ss=0.95_nrna=0,t1,147,174.0,27.0,0.18,220,250.4,280,248.0,32.0,0,1.6,1.6,0.0,500,1.0,140
single_exon,gdna=20_ss=0.95_nrna=0,t_helper,73,76.4,3.4,0.05,220,250.4,280,248.0,32.0,0,1.6,1.6,0.0,500,1.0,140
single_exon,gdna=20_ss=0.95_nrna=0,t_ctrl,0,0.0,0.0,0.0,220,250.4,280,248.0,32.0,0,1.6,1.6,0.0,500,1.0,140
single_exon,gdna=20_ss=0.95_nrna=30,t1,132,195.0,63.0,0.48,189,221.16,242,177.0,65.0,69,101.84,32.84,0.0,500,1.0,126
single_exon,gdna=20_ss=0.95_nrna=30,t_helper,57,26.16,30.84,0.54,189,221.16,242,177.0,65.0,69,101.84,32.84,0.0,500,1.0,126
single_exon,gdna=20_ss=0.95_nrna=30,t_ctrl,0,0.0,0.0,0.0,189,221.16,242,177.0,65.0,69,101.84,32.84,0.0,500,1.0,126
single_exon,gdna=20_ss=0.95_nrna=50,t1,113,175.0,62.0,0.55,174,226.29,221,206.0,15.0,105,67.71,37.29,0.0,500,1.0,111
