true_source	predicted_binary	predicted_detail	zc	zs	cigar_class	nh	nm	count	rate_within_group
rna	gdna	gdna	.	unknown	all_M	2	0	251	0.0004935125708072568
gdna	rna	mrna	ambig_same_strand	spliced_annot	contains_N	1	>=3	249	0.00023442023357293153
rna	rna	mrna	multimapper	unspliced	all_M	3-10	1	234	1.8194731210168897e-05
gdna	rna	nrna	multimapper	unspliced	other	2	2	233	0.0001750086189867076
gdna	gdna	gdna	multimapper	unspliced	other	3-10	>=3	233	1.4994860881477723e-05
gdna	rna	mrna	ambig_opp_strand	unspliced	other	1	2	230	0.00021653274587057932
gdna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	>10	>=3	229	0.0007724430112459607
rna	rna	mrna	ambig_opp_strand	spliced_unannot	contains_N	1	1	228	1.7728199640677386e-05
rna	gdna	gdna	unambig	unspliced	all_M	1	2	224	0.00044042556119850806
gdna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	3-10	>=3	224	0.00016824862941211376
rna	rna	nrna	multimapper	spliced_annot	contains_N	2	1	224	0.00045151094914051663
gdna	unresolved	unresolved	.	unspliced	all_M	>10	1	220	0.0007420849889699186
gdna	unresolved	unresolved	.	unspliced	all_M	>10	>=3	220	0.0007420849889699186
rna	unresolved	unresolved	.	spliced_annot	soft_or_hard_clipped	1	1	220	0.0017692425229398378
gdna	rna	mrna	unambig	spliced_annot	all_M	1	1	218	0.00020523538521646215
gdna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	2	2	218	0.0007353387617974647
gdna	rna	nrna	multimapper	spliced_annot	all_M	3-10	0	217	0.0001629908597429852
rna	gdna	gdna	.	unknown	all_M	1	2	217	0.0004266622624110547
rna	unresolved	unresolved	.	spliced_annot	soft_or_hard_clipped	1	>=3	216	0.0017370744770682043
gdna	rna	mrna	multimapper	unspliced	all_M	>10	0	216	0.00020335249177410927
gdna	rna	nrna	multimapper	unspliced	all_M	3-10	2	215	0.0001614886398375199
rna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	3-10	2	211	0.00042530718869932595
gdna	rna	nrna	multimapper	spliced_unannot	all_M	3-10	1	208	0.00015623087016839135
gdna	gdna	gdna	.	unknown	soft_or_hard_clipped	3-10	>=3	205	1.3192903350656367e-05
rna	rna	mrna	ambig_same_strand	spliced_unannot	all_M	1	2	203	1.5784318101129425e-05
gdna	gdna	gdna	.	unknown	contains_N	1	>=3	203	1.306419209845484e-05
gdna	rna	mrna	ambig_opp_strand	spliced_implicit	all_M	1	1	202	0.00019017223767763922
gdna	rna	mrna	multimapper	unspliced	other	2	>=3	202	0.00019017223767763922
rna	rna	mrna	multimapper	spliced_annot	all_M	2	2	202	1.570656283954751e-05
rna	gdna	gdna	ambig_opp_strand	unspliced	other	1	>=3	200	0.00039323710821295363
gdna	rna	mrna	multimapper	unspliced	all_M	3-10	>=3	195	0.00018358211062940422
rna	rna	mrna	ambig_same_strand	spliced_implicit	other	1	2	193	1.5006765485310242e-05
gdna	rna	nrna	ambig_opp_strand	spliced_unannot	contains_N	1	0	192	0.00014421311092466894
gdna	unresolved	unresolved	.	spliced_unannot	contains_N	1	>=3	188	0.0006341453542106577
rna	gdna	gdna	multimapper	unspliced	all_M	3-10	1	186	0.00036571051063804687
gdna	rna	nrna	ambig_same_strand	spliced_implicit	soft_or_hard_clipped	1	1	184	0.00013820423130280772
rna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	1	2	184	0.001479730110095137
rna	unresolved	unresolved	.	spliced_annot	contains_N	3-10	1	184	0.001479730110095137
rna	rna	mrna	ambig_opp_strand	spliced_unannot	all_M	1	1	183	1.4229212869491059e-05
gdna	rna	nrna	multimapper	spliced_annot	contains_N	3-10	0	183	0.00013745312135007506
gdna	rna	mrna	ambig_same_strand	spliced_implicit	all_M	1	2	181	0.00017040185653293416
gdna	rna	nrna	multimapper	spliced_unannot	contains_N	2	>=3	177	0.00013294646163367917
rna	rna	nrna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	>=3	173	0.00034871158125584546
rna	rna	mrna	multimapper	unspliced	all_M	2	2	173	1.3451660253671876e-05
rna	rna	nrna	multimapper	unspliced	other	3-10	2	171	0.00034468023349566224
gdna	rna	nrna	multimapper	spliced_unannot	contains_N	3-10	0	171	0.00012843980191728328
gdna	rna	nrna	ambig_opp_strand	spliced_implicit	all_M	1	2	171	0.00012843980191728328
rna	unresolved	unresolved	.	unspliced	soft_or_hard_clipped	2	0	169	0.0013590999380765118
gdna	rna	mrna	multimapper	unspliced	soft_or_hard_clipped	2	>=3	167	0.0001572216024364641
gdna	rna	mrna	multimapper	unspliced	all_M	2	>=3	166	0.00015628015571528768
rna	rna	nrna	unambig	unspliced	soft_or_hard_clipped	1	>=3	166	0.0003346018640952043
gdna	rna	mrna	ambig_same_strand	spliced_implicit	soft_or_hard_clipped	1	0	166	0.00015628015571528768
gdna	rna	nrna	multimapper	unspliced	all_M	>10	1	166	0.00012468425215362002
rna	unresolved	unresolved	.	spliced_unannot	contains_N	1	1	165	0.0013269318922048783
gdna	rna	mrna	multimapper	unspliced	soft_or_hard_clipped	3-10	>=3	163	0.00015345581555175838
gdna	rna	mrna	multimapper	spliced_unannot	all_M	3-10	0	163	0.00015345581555175838
gdna	rna	nrna	ambig_opp_strand	spliced_unannot	all_M	1	0	160	0.00012017759243722411
rna	unresolved	unresolved	.	spliced_annot	contains_N	3-10	>=3	158	0.0012706378119295197
rna	rna	mrna	ambig_same_strand	spliced_implicit	other	1	>=3	158	1.22853313299431e-05
gdna	rna	nrna	unambig	unspliced	soft_or_hard_clipped	1	0	157	0.00011792426257902615
gdna	gdna	gdna	.	unknown	all_M	>10	1	156	1.003947767171899e-05
rna	rna	nrna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	2	155	0.0003124294514141968
gdna	unresolved	unresolved	.	spliced_unannot	all_M	2	>=3	153	0.0005160863786927161
gdna	rna	nrna	multimapper	spliced_unannot	contains_N	3-10	>=3	151	0.00011341760286263025
rna	rna	nrna	ambig_same_strand	spliced_unannot	contains_N	1	>=3	151	0.0003043667558938304
gdna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	>10	>=3	150	0.0001126664929098976
rna	gdna	gdna	.	unknown	other	1	1	150	0.0002949278311597152
gdna	rna	nrna	ambig_opp_strand	spliced_implicit	soft_or_hard_clipped	1	0	149	0.00011191538295716495
gdna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	2	0	149	0.00011191538295716495
gdna	rna	nrna	multimapper	spliced_annot	all_M	2	2	149	0.00011191538295716495
gdna	rna	nrna	ambig_opp_strand	spliced_implicit	all_M	1	>=3	148	0.0001111642730044323
gdna	rna	mrna	ambig_same_strand	spliced_implicit	all_M	1	>=3	147	0.00013839266801293548
gdna	rna	mrna	multimapper	unspliced	all_M	3-10	2	145	0.0001365097745705826
rna	rna	mrna	multimapper	spliced_unannot	all_M	2	0	144	1.1196757667796244e-05
rna	rna	nrna	ambig_same_strand	spliced_unannot	contains_N	1	2	143	0.00028824136485309767
rna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	2	1	143	0.00028824136485309767
gdna	gdna	gdna	.	unknown	other	2	2	143	9.202854532409075e-06
gdna	gdna	gdna	.	unknown	soft_or_hard_clipped	2	0	142	9.138498906308311e-06
rna	rna	mrna	ambig_opp_strand	spliced_implicit	soft_or_hard_clipped	1	>=3	142	1.1041247144632406e-05
gdna	rna	nrna	multimapper	unspliced	other	2	1	141	0.00010590650333530375
rna	unresolved	unresolved	.	spliced_annot	contains_N	2	>=3	141	0.0011339236169750778
rna	gdna	gdna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	>=3	141	0.0002772321612901323
rna	unresolved	unresolved	.	unspliced	all_M	3-10	1	140	0.0011258816055071694
gdna	rna	nrna	ambig_same_strand	spliced_implicit	other	1	1	140	0.0001051553933825711
gdna	unresolved	unresolved	.	spliced_unannot	soft_or_hard_clipped	2	>=3	140	0.00047223590207176635
rna	rna	nrna	unambig	unspliced	soft_or_hard_clipped	1	2	139	0.00028017866933273134
rna	rna	nrna	unambig	spliced_unannot	all_M	1	0	138	0.00027816299545263974
rna	rna	mrna	multimapper	spliced_annot	other	2	>=3	137	1.0652470836722814e-05
rna	unresolved	unresolved	.	spliced_annot	all_M	1	1	137	0.0011017555711034443
gdna	rna	nrna	multimapper	spliced_unannot	contains_N	2	0	136	0.00010215095357164049
gdna	rna	nrna	multimapper	unspliced	soft_or_hard_clipped	3-10	0	136	0.00010215095357164049
rna	rna	mrna	multimapper	unspliced	soft_or_hard_clipped	3-10	0	135	1.0496960313558978e-05
gdna	unresolved	unresolved	.	spliced_unannot	all_M	2	2	134	0.00045199722055440497
rna	gdna	gdna	ambig_opp_strand	unspliced	soft_or_hard_clipped	1	2	133	0.00026150267696161414
rna	rna	mrna	multimapper	unspliced	all_M	2	>=3	132	1.0263694528813223e-05
gdna	rna	nrna	multimapper	spliced_unannot	all_M	2	2	132	9.91465137607099e-05
gdna	rna	mrna	multimapper	unspliced	all_M	>10	>=3	131	0.00012332952047411258
gdna	unresolved	unresolved	.	unspliced	all_M	>10	2	129	0.0004351316526232704
