true_source	predicted_binary	predicted_detail	feature	value	count	rate_within_group
rna	rna	mrna	zw	>=0.99	2023645	0.15734904632394117
rna	rna	mrna	zw	0.50-0.70	1958959	0.1523193694732532
rna	rna	mrna	zw	<0.25	1652524	0.12849243589039805
rna	rna	nrna	cigar_class	all_M	462122	0.9314872448156868
rna	rna	nrna	cigar_class	soft_or_hard_clipped	19749	0.039807543457928855
rna	rna	nrna	cigar_class	contains_N	8785	0.01770769503660464
rna	rna	nrna	cigar_class	other	5456	0.010997516689779727
rna	rna	nrna	mapq	>=60	442548	0.892032444286774
rna	rna	nrna	mapq	0-9	53564	0.10796755571322604
rna	rna	nrna	nh	1	442548	0.892032444286774
rna	rna	nrna	nh	3-10	30870	0.06222385267842745
rna	rna	nrna	nh	2	21729	0.04379857774051021
rna	rna	nrna	nh	>10	965	0.0019451252942883864
rna	rna	nrna	nm	0	418277	0.843110023543071
rna	rna	nrna	nm	1	60416	0.12177895313961364
rna	rna	nrna	nm	2	10181	0.0205215757732125
rna	rna	nrna	nm	>=3	7238	0.014589447544102945
rna	rna	nrna	template	201-350	361155	0.727970700164479
rna	rna	nrna	template	1-200	111409	0.2245642113071242
rna	rna	nrna	template	>1000	13900	0.02801786693327313
rna	rna	nrna	template	351-500	6023	0.01214040377979166
rna	rna	nrna	template	501-1000	3614	0.007284645402651014
rna	rna	nrna	template	0_or_missing	11	2.2172412681007514e-05
rna	rna	nrna	zc	ambig_same_strand	220731	0.44492171122649726
rna	rna	nrna	zc	unambig	119370	0.24061099106653336
rna	rna	nrna	zc	ambig_opp_strand	102447	0.20649974199374335
rna	rna	nrna	zc	multimapper	53564	0.10796755571322604
rna	rna	nrna	zs	unspliced	474461	0.956358644822137
rna	rna	nrna	zs	spliced_unannot	15353	0.030946641081046215
rna	rna	nrna	zs	spliced_implicit	5063	0.010205356854903732
rna	rna	nrna	zs	spliced_annot	1235	0.0024893572419131165
rna	rna	nrna	zw	>=0.99	136441	0.27502055987357693
rna	rna	nrna	zw	0.90-0.99	115081	0.23196576579482053
rna	rna	nrna	zw	<0.25	81931	0.16514617666978423
rna	rna	nrna	zw	0.70-0.90	56732	0.1143532105653562
rna	rna	nrna	zw	0.25-0.50	55303	0.11147281259070532
rna	rna	nrna	zw	0.50-0.70	50624	0.10204147450575676
rna	unresolved	unresolved	cigar_class	other	98248	0.7901115426990599
rna	unresolved	unresolved	cigar_class	contains_N	10027	0.08063724898871706
rna	unresolved	unresolved	cigar_class	all_M	9576	0.07701030181669039
rna	unresolved	unresolved	cigar_class	soft_or_hard_clipped	6496	0.05224090649553266
rna	unresolved	unresolved	mapq	0-9	103669	0.8337072868665911
rna	unresolved	unresolved	mapq	>=60	20678	0.16629271313340893
rna	unresolved	unresolved	nh	1	118811	0.9554794245136593
rna	unresolved	unresolved	nh	3-10	3139	0.02524387399776432
rna	unresolved	unresolved	nh	2	2005	0.016124232993156247
rna	unresolved	unresolved	nh	>10	392	0.0031524684954200746
rna	unresolved	unresolved	nm	0	116776	0.9391139311764659
rna	unresolved	unresolved	nm	1	3637	0.02924879570878268
rna	unresolved	unresolved	nm	>=3	2436	0.01959033993582475
rna	unresolved	unresolved	nm	2	1498	0.012046933178926713
rna	unresolved	unresolved	template	0_or_missing	101451	0.8158701054307703
rna	unresolved	unresolved	template	>1000	10589	0.08515685943368155
rna	unresolved	unresolved	template	201-350	5802	0.04665975053680427
rna	unresolved	unresolved	template	1-200	3941	0.03169356719502682
rna	unresolved	unresolved	template	501-1000	1629	0.013100436681222707
rna	unresolved	unresolved	template	351-500	935	0.007519280722494311
rna	unresolved	unresolved	zc	missing	98133	0.7891867113802504
rna	unresolved	unresolved	zc	.	26214	0.21081328861974957
rna	unresolved	unresolved	zs	missing	98133	0.7891867113802504
rna	unresolved	unresolved	zs	spliced_annot	11966	0.09623070922499136
rna	unresolved	unresolved	zs	unspliced	11703	0.09411566020893146
rna	unresolved	unresolved	zs	spliced_unannot	2545	0.02046691918582676
rna	unresolved	unresolved	zw	missing	98133	0.7891867113802504
rna	unresolved	unresolved	zw	<0.25	26214	0.21081328861974957
